1525357776647	39	ON
1525357777146	52	OFF
1525357777648	67	ON
1525357778145	82	OFF
1525357778679	98	ON
1525357779044	109	OFF
1525357779343	118	ON
1525357779443	121	OFF
1525357779579	125	ON
1525357779711	129	OFF
1525357779811	132	ON
1525357779944	136	OFF
1525357780077	140	ON
1525357780179	143	OFF
1525357780311	147	ON
1525357780444	151	OFF
1525357780576	155	ON
1525357780711	159	OFF
1525357780877	164	ON
1525357780976	167	OFF
1525357781179	173	ON
1525357781244	175	OFF
1525357781379	179	ON
1525357781511	183	OFF
1525357781644	187	ON
1525357781743	190	OFF
1525357782010	198	OFF
1525357782143	202	ON
1525357782311	207	OFF
1525357782443	211	ON
1525357782545	214	OFF
1525357782680	218	ON
1525357782816	222	OFF
1525357782995	227	ON
1525357783160	232	OFF
1525357783297	236	ON
1525357783528	243	OFF
1525357783728	249	ON
1525357783930	255	OFF
1525357784145	261	ON
1525357784312	266	OFF
1525357784512	272	ON
1525357784712	278	OFF
1525357784947	285	ON
1525357785111	290	OFF
1525357785344	297	ON
1525357785448	300	OFF
1525357785678	307	ON
